country,indicator,better_higher_lower,latest_value,year,metric
Austria,Hospital Beds,higher,7.05,2023,per 1000 people
Belgium,Hospital Beds,higher,5.51,2023,per 1000 people
Canada,Hospital Beds,higher,2.55,2023,per 1000 people
Chile,Hospital Beds,higher,1.95,2023,per 1000 people
Costa Rica,Hospital Beds,higher,1.17,2023,per 1000 people
Denmark,Hospital Beds,higher,2.52,2023,per 1000 people
Estonia,Hospital Beds,higher,4.46,2023,per 1000 people
Finland,Hospital Beds,higher,2.83,2023,per 1000 people
France,Hospital Beds,higher,5.73,2023,per 1000 people
Germany,Hospital Beds,higher,7.82,2023,per 1000 people
Greece,Hospital Beds,higher,4.18,2023,per 1000 people
Hungary,Hospital Beds,higher,6.82,2023,per 1000 people
Indonesia,Hospital Beds,higher,1.2,2023,per 1000 people
Ireland,Hospital Beds,higher,2.89,2023,per 1000 people
Israel,Hospital Beds,higher,2.91,2023,per 1000 people
Italy,Hospital Beds,higher,3.19,2023,per 1000 people
Japan,Hospital Beds,higher,12.63,2023,per 1000 people
Lithuania,Hospital Beds,higher,6.01,2023,per 1000 people
Netherlands,Hospital Beds,higher,2.91,2023,per 1000 people
New Zealand,Hospital Beds,higher,2.67,2023,per 1000 people
Norway,Hospital Beds,higher,3.4,2023,per 1000 people
Poland,Hospital Beds,higher,6.19,2023,per 1000 people
Portugal,Hospital Beds,higher,3.53,2023,per 1000 people
Slovenia,Hospital Beds,higher,4.28,2023,per 1000 people
Spain,Hospital Beds,higher,2.95,2023,per 1000 people
Sweden,Hospital Beds,higher,2.05,2023,per 1000 people
Switzerland,Hospital Beds,higher,4.48,2023,per 1000 people
United Kingdom,Hospital Beds,higher,2.34,2023,per 1000 people
United States,Hospital Beds,higher,2.8,2023,per 1000 people
Argentina,Inflation Rate,lower,104,2023,percent
Australia,Inflation Rate,lower,7,2023,percent
Austria,Inflation Rate,lower,9.8,2023,percent
Belgium,Inflation Rate,lower,5.6,2023,percent
Brazil,Inflation Rate,lower,4.65,2023,percent
Bulgaria,Inflation Rate,lower,14,2023,percent
Canada,Inflation Rate,lower,4.3,2023,percent
Chile,Inflation Rate,lower,9.9,2023,percent
Costa Rica,Inflation Rate,lower,4.42,2023,percent
Croatia,Inflation Rate,lower,8.8,2023,percent
Czechia,Inflation Rate,lower,15,2023,percent
Denmark,Inflation Rate,lower,6.7,2023,percent
Estonia,Inflation Rate,lower,13.5,2023,percent
Finland,Inflation Rate,lower,7.9,2023,percent
France,Inflation Rate,lower,5.9,2023,percent
Germany,Inflation Rate,lower,7.2,2023,percent
Greece,Inflation Rate,lower,4.6,2023,percent
Hungary,Inflation Rate,lower,25.2,2023,percent
Indonesia,Inflation Rate,lower,4.33,2023,percent
Ireland,Inflation Rate,lower,7.7,2023,percent
Israel,Inflation Rate,lower,5,2023,percent
Italy,Inflation Rate,lower,8.3,2023,percent
Japan,Inflation Rate,lower,3.2,2023,percent
Lithuania,Inflation Rate,lower,16.6,2023,percent
Netherlands,Inflation Rate,lower,5.2,2023,percent
New Zealand,Inflation Rate,lower,6.7,2023,percent
Norway,Inflation Rate,lower,6.5,2023,percent
Panama,Inflation Rate,lower,1.35,2023,percent
Peru,Inflation Rate,lower,7.96,2023,percent
Poland,Inflation Rate,lower,14.7,2023,percent
Portugal,Inflation Rate,lower,5.7,2023,percent
Romania,Inflation Rate,lower,14.53,2023,percent
Slovenia,Inflation Rate,lower,9.4,2023,percent
"Korea, Rep.",Inflation Rate,lower,3.7,2023,percent
Spain,Inflation Rate,lower,4.1,2023,percent
Sweden,Inflation Rate,lower,10.6,2023,percent
Switzerland,Inflation Rate,lower,2.6,2023,percent
Tunisia,Inflation Rate,lower,10.1,2023,percent
United Kingdom,Inflation Rate,lower,10.1,2023,percent
United States,Inflation Rate,lower,5,2023,percent
Uruguay,Inflation Rate,lower,7.61,2023,percent
Argentina,Personal Income Tax Rate,lower,35,2023,percent
Australia,Personal Income Tax Rate,lower,45,2023,percent
Austria,Personal Income Tax Rate,lower,55,2023,percent
Belgium,Personal Income Tax Rate,lower,50,2023,percent
Brazil,Personal Income Tax Rate,lower,27.5,2023,percent
Bulgaria,Personal Income Tax Rate,lower,10,2023,percent
Canada,Personal Income Tax Rate,lower,33,2023,percent
Chile,Personal Income Tax Rate,lower,40,2023,percent
Costa Rica,Personal Income Tax Rate,lower,25,2023,percent
Croatia,Personal Income Tax Rate,lower,30,2023,percent
Czechia,Personal Income Tax Rate,lower,23,2023,percent
Denmark,Personal Income Tax Rate,lower,56,2023,percent
Estonia,Personal Income Tax Rate,lower,20,2023,percent
Finland,Personal Income Tax Rate,lower,56.95,2023,percent
France,Personal Income Tax Rate,lower,45,2023,percent
Germany,Personal Income Tax Rate,lower,45,2023,percent
Greece,Personal Income Tax Rate,lower,44,2023,percent
Hungary,Personal Income Tax Rate,lower,15,2023,percent
Indonesia,Personal Income Tax Rate,lower,35,2023,percent
Ireland,Personal Income Tax Rate,lower,40,2023,percent
Israel,Personal Income Tax Rate,lower,50,2023,percent
Italy,Personal Income Tax Rate,lower,43,2023,percent
Japan,Personal Income Tax Rate,lower,55.97,2023,percent
Lithuania,Personal Income Tax Rate,lower,20,2023,percent
Netherlands,Personal Income Tax Rate,lower,49.5,2023,percent
New Zealand,Personal Income Tax Rate,lower,39,2023,percent
Norway,Personal Income Tax Rate,lower,38.2,2023,percent
Panama,Personal Income Tax Rate,lower,25,2023,percent
Peru,Personal Income Tax Rate,lower,30,2023,percent
Poland,Personal Income Tax Rate,lower,32,2023,percent
Portugal,Personal Income Tax Rate,lower,48,2023,percent
Romania,Personal Income Tax Rate,lower,10,2023,percent
Slovenia,Personal Income Tax Rate,lower,45,2023,percent
"Korea, Rep.",Personal Income Tax Rate,lower,45,2023,percent
Spain,Personal Income Tax Rate,lower,47,2023,percent
Sweden,Personal Income Tax Rate,lower,52.3,2023,percent
Switzerland,Personal Income Tax Rate,lower,40,2023,percent
Tunisia,Personal Income Tax Rate,lower,35,2023,percent
United Kingdom,Personal Income Tax Rate,lower,45,2023,percent
United States,Personal Income Tax Rate,lower,37,2023,percent
Uruguay,Personal Income Tax Rate,lower,36,2023,percent
Argentina,Unemployment Rate,lower,6.3,2023,percent
Australia,Unemployment Rate,lower,3.5,2023,percent
Austria,Unemployment Rate,lower,6.2,2023,percent
Belgium,Unemployment Rate,lower,5.9,2023,percent
Brazil,Unemployment Rate,lower,8.8,2023,percent
Bulgaria,Unemployment Rate,lower,5.4,2023,percent
Canada,Unemployment Rate,lower,5,2023,percent
Chile,Unemployment Rate,lower,8.8,2023,percent
Costa Rica,Unemployment Rate,lower,11.7,2023,percent
Croatia,Unemployment Rate,lower,6.5,2023,percent
Czechia,Unemployment Rate,lower,3.7,2023,percent
Denmark,Unemployment Rate,lower,2.3,2023,percent
Estonia,Unemployment Rate,lower,5.4,2023,percent
Finland,Unemployment Rate,lower,6.9,2023,percent
France,Unemployment Rate,lower,7.2,2023,percent
Germany,Unemployment Rate,lower,5.6,2023,percent
Greece,Unemployment Rate,lower,10.9,2023,percent
Hungary,Unemployment Rate,lower,4.1,2023,percent
Indonesia,Unemployment Rate,lower,5.45,2023,percent
Ireland,Unemployment Rate,lower,3.9,2023,percent
Israel,Unemployment Rate,lower,3.9,2023,percent
Italy,Unemployment Rate,lower,7.8,2023,percent
Japan,Unemployment Rate,lower,2.8,2023,percent
Lithuania,Unemployment Rate,lower,9,2023,percent
Netherlands,Unemployment Rate,lower,3.5,2023,percent
New Zealand,Unemployment Rate,lower,3.4,2023,percent
Norway,Unemployment Rate,lower,3.7,2023,percent
Panama,Unemployment Rate,lower,14.5,2023,percent
Peru,Unemployment Rate,lower,7.5,2023,percent
Poland,Unemployment Rate,lower,5.4,2023,percent
Portugal,Unemployment Rate,lower,6.5,2023,percent
Romania,Unemployment Rate,lower,5.4,2023,percent
Slovenia,Unemployment Rate,lower,5.4,2023,percent
"Korea, Rep.",Unemployment Rate,lower,2.7,2023,percent
Spain,Unemployment Rate,lower,13.26,2023,percent
Sweden,Unemployment Rate,lower,7.7,2023,percent
Switzerland,Unemployment Rate,lower,2,2023,percent
Tunisia,Unemployment Rate,lower,15.2,2023,percent
United Kingdom,Unemployment Rate,lower,3.8,2023,percent
United States,Unemployment Rate,lower,3.4,2023,percent
Uruguay,Unemployment Rate,lower,8.6,2023,percent
Switzerland,Average monthly wage,higher,7317.2,2023,USD/Hour
Denmark,Average monthly wage,higher,6236.44,2023,USD/Hour
United States,Average monthly wage,higher,5724,2023,USD/Hour
New Zealand,Average monthly wage,higher,4681.2,2023,USD/Hour
Norway,Average monthly wage,higher,4498.95,2023,USD/Hour
Germany,Average monthly wage,higher,4388.07,2023,USD/Hour
Canada,Average monthly wage,higher,4357.12,2023,USD/Hour
Finland,Average monthly wage,higher,4073.49,2023,USD/Hour
Ireland,Average monthly wage,higher,3852,2023,USD/Hour
Australia,Average monthly wage,higher,3585.4,2023,USD/Hour
France,Average monthly wage,higher,3553.47,2023,USD/Hour
Sweden,Average monthly wage,higher,3477.6,2023,USD/Hour
Israel,Average monthly wage,higher,3313.44,2023,USD/Hour
Netherlands,Average monthly wage,higher,3254.94,2023,USD/Hour
"Korea, Rep.",Average monthly wage,higher,3228.3014,2023,USD/Hour
United Kingdom,Average monthly wage,higher,3164.48,2023,USD/Hour
Austria,Average monthly wage,higher,2697.47,2023,USD/Hour
Italy,Average monthly wage,higher,2648.25,2023,USD/Hour
Spain,Average monthly wage,higher,2426.76,2023,USD/Hour
Slovenia,Average monthly wage,higher,2282.31,2023,USD/Hour
Japan,Average monthly wage,higher,2239.0344,2023,USD/Hour
Lithuania,Average monthly wage,higher,2033,2023,USD/Hour
Czechia,Average monthly wage,higher,1953.54,2023,USD/Hour
Estonia,Average monthly wage,higher,1899.25,2023,USD/Hour
Poland,Average monthly wage,higher,1615.92,2023,USD/Hour
Hungary,Average monthly wage,higher,1540.3495,2023,USD/Hour
Romania,Average monthly wage,higher,1505.9,2023,USD/Hour
Chile,Average monthly wage,higher,1478.88,2023,USD/Hour
Costa Rica,Average monthly wage,higher,1368.817,2023,USD/Hour
Argentina,Average monthly wage,higher,1335.1926,2023,USD/Hour
Portugal,Average monthly wage,higher,1271.16,2023,USD/Hour
Croatia,Average monthly wage,higher,1183.42,2023,USD/Hour
Bulgaria,Average monthly wage,higher,1070.85,2023,USD/Hour
Panama,Average monthly wage,higher,1035.99,2023,USD/Hour
Uruguay,Average monthly wage,higher,961.168,2023,USD/Hour
Brazil,Average monthly wage,higher,576,2023,USD/Hour
Peru,Average monthly wage,higher,497.07,2023,USD/Hour
Belgium,Average monthly wage,higher,,2023,USD/Hour
Greece,Average monthly wage,higher,,2023,USD/Hour
Indonesia,Average monthly wage,higher,,2023,USD/Hour
Tunisia,Average monthly wage,higher,,2023,USD/Hour
